gbifID,species,infraspecificEpithet,scientificName,decimalLatitude,decimalLongitude,
2465193490,Panthera tigris,tigris,Panthera tigris tigris,26.031025,76.597735,
2445054607,Panthera tigris,tigris,Panthera tigris tigris,12.07545,76.024929,
2444980403,Panthera tigris,tigris,Panthera tigris tigris,11.587684,76.977238,
2444956465,Panthera tigris,tigris,Panthera tigris tigris,15.636135,99.021449,
2429371981,Panthera tigris,tigris,Panthera tigris tigris,29.533793,79.081946,
2429222100,Panthera tigris,tigris,Panthera tigris tigris,26.075486,76.412978,
2423259763,Panthera tigris,tigris,Panthera tigris tigris,25.818253,76.338355,
2423231215,Panthera tigris,tigris,Panthera tigris tigris,22.215198,80.52004,
2423106114,Panthera tigris,tigris,Panthera tigris tigris,29.544092,78.842151,
2366116805,Panthera tigris,tigris,Panthera tigris tigris,26.087083,76.452024,
2350369964,Panthera tigris,tigris,Panthera tigris tigris,26.02323,76.48612,
2331917282,Panthera tigris,tigris,Panthera tigris tigris,10.56054,76.90991,
2311370093,Panthera tigris,tigris,Panthera tigris tigris,25.893169,76.268444,
2311347987,Panthera tigris,tigris,Panthera tigris tigris,11.509999,76.488799,
2311315574,Panthera tigris,tigris,Panthera tigris tigris,26.095167,76.307387,
2310964619,Panthera tigris,tigris,Panthera tigris tigris,29.24,79.28,
2294530110,Panthera tigris,tigris,Panthera tigris tigris,22.553847,78.197385,
2294422946,Panthera tigris,tigris,Panthera tigris tigris,20.250994,79.304759,
2294422928,Panthera tigris,tigris,Panthera tigris tigris,20.27932,79.317464,
2283248607,Panthera tigris,tigris,Panthera tigris tigris,23.702988,81.066508,
2283173201,Panthera tigris,tigris,Panthera tigris tigris,20.325868,79.355395,
2283085521,Panthera tigris,tigris,Panthera tigris tigris,26.047548,76.577231,
2283085349,Panthera tigris,tigris,Panthera tigris tigris,25.887138,76.305428,
2273236323,Panthera tigris,tigris,Panthera tigris tigris,26.083698,76.402135,
2273233975,Panthera tigris,tigris,Panthera tigris tigris,26.150361,76.499054,
2244296784,Panthera tigris,tigris,Panthera tigris tigris,22.287445,80.459253,
2244247680,Panthera tigris,tigris,Panthera tigris tigris,23.607798,81.008478,
2237425975,Panthera tigris,tigris,Panthera tigris tigris,23.723336,80.998591,
2236224451,Panthera tigris,tigris,Panthera tigris tigris,27.465617,84.322609,
2235544125,Panthera tigris,tigris,Panthera tigris tigris,19.970794,78.52363,
2235533978,Panthera tigris,tigris,Panthera tigris tigris,19.962671,78.523817,
2235533321,Panthera tigris,tigris,Panthera tigris tigris,19.828938,78.508334,
2234753895,Panthera tigris,tigris,Panthera tigris tigris,25.987563,76.482832,
2012989347,Panthera tigris,tigris,Panthera tigris tigris,23.75391,81.152205,
2005390098,Panthera tigris,tigris,Panthera tigris tigris,25.864016,76.267634,
2005290930,Panthera tigris,tigris,Panthera tigris tigris,20.5331,79.322178,
1990799772,Panthera tigris,tigris,Panthera tigris tigris,22.0,79.0,
1990591840,Panthera tigris,tigris,Panthera tigris tigris,22.325213,80.582819,
1990591788,Panthera tigris,tigris,Panthera tigris tigris,23.796294,81.100592,
1990497580,Panthera tigris,tigris,Panthera tigris tigris,26.120707,76.35995,
1986622425,Panthera tigris,tigris,Panthera tigris tigris,26.199096,76.56507,
1986622024,Panthera tigris,tigris,Panthera tigris tigris,26.077514,76.40668,
1986546390,Panthera tigris,tigris,Panthera tigris tigris,26.982416,93.108031,
1935612487,Panthera tigris,tigris,Panthera tigris tigris,11.738772,76.582146,
1935609442,Panthera tigris,tigris,Panthera tigris tigris,20.393909,79.224814,
1932321538,Panthera tigris,tigris,Panthera tigris tigris,26.179711,76.445765,
1931510106,Panthera tigris,tigris,Panthera tigris tigris,19.433249,75.453004,
1914234604,Panthera tigris,tigris,Panthera tigris tigris,19.966641,79.585669,
1913675147,Panthera tigris,tigris,Panthera tigris tigris,26.095025,76.44792,
1899807839,Panthera tigris,tigris,Panthera tigris tigris,19.894812,78.514828,
1891347961,Panthera tigris,tigris,Panthera tigris tigris,20.288014,79.328073,
1848787688,Panthera tigris,tigris,Panthera tigris tigris,11.844145,76.263473,
1847450413,Panthera tigris,tigris,Panthera tigris tigris,20.287255,79.278087,
1839229830,Panthera tigris,tigris,Panthera tigris tigris,29.420183,78.999599,
1839210793,Panthera tigris,tigris,Panthera tigris tigris,26.046186,76.565614,
1839208484,Panthera tigris,tigris,Panthera tigris tigris,15.782025,99.353812,
